,0,1
201,http,9259
305,eno,8301
347,mobileweb,8301
356,windows,5403
362,java,5395
323,sql,4897
361,c,4426
147,c++,4203
177,linux,3839
234,ms,3378
101,c#,2737
91,asp.net,2611
252,server,2561
104,php,2408
72,mysql,2401
70,javascript,2352
232,excel,2322
338,html,2309
103,android,2100
84,oracle,2009
173,jquery,1865
298,powerpoint,1849
310,app,1522
379,.net,1409
157,outlook,1317
240,ajax,1311
292,ios,1234
109,erp,1138
227,is,1126
226,ip,966
258,css,955
48,xml,854
391,tcp,802
137,c#.net,752
162,asp,743
355,jsp,739
88,python,737
8,xp,716
4,unix,699
102,vb,539
206,pl,525
363,pc,485
146,objective,483
359,are,482
198,years,478
169,systems,475
284,mis,472
209,skills,455
376,api,447
275,vmware,425
113,mvc,415
159,embedded,413
343,os,410
67,microsoft,389
264,services,387
47,sap,386
50,ui,384
329,dhtml,382
322,nt,377
30,vb.net,373
317,html5,343
22,uml,336
219,struts,329
167,photoshop,329
197,based,312
225,mcu,310
266,j2ee,301
155,cisco,296
216,adobe,291
246,firewall,289
211,mes,289
18,dreamweaver,287
330,requirements,275
44,router,273
36,applications,272
15,delphi,270
42,internet,268
58,an,268
262,pos,262
312,firmware,251
237,visio,249
349,perl,246
5,dns,246
77,bios,242
16,r,241
85,tools,237
207,tomcat,236
389,english,231
158,illustrator,230
238,mac,229
55,oop,228
228,ic,226
154,itech,211
149,ruby,209
394,analyses,206
273,sdk,204
335,git,204
117,db,204
371,issues,201
307,ccna,195
263,debugging,194
192,aws,192
53,tracking,192
249,autocad,191
315,solutions,185
123,plc,184
62,c++.net,182
181,mssql,181
79,ux,180
37,sw,178
35,explorer,178
304,vpn,176
278,iis,174
73,projects,173
286,teams,171
368,customers,170
166,documentation,170
106,matlab,165
38,sa,164
311,coding,164
188,socket,163
231,vista,162
194,sd,159
187,products,158
29,bi,153
236,taipei,153
66,ftp,149
131,apache,149
289,json,146
133,postgresql,145
43,hibernate,144
390,mfc,141
326,technologies,140
269,google,140
366,hadoop,136
112,lan,136
56,algorithm,136
388,automation,135
92,db2,130
242,using,130
259,pcb,130
203,networking,129
96,tiptop,128
375,usability,127
0,looking,125
267,pm,124
51,jobs,124
60,ap,124
89,dhcp,124
87,responsibilities,123
383,ooad,123
235,rf,123
108,vbscript,121
128,dba,120
132,https,120
41,troubleshooting,120
291,iot,119
214,ethernet,119
268,vba,118
244,kernel,118
21,has,117
313,oriented,117
290,multi,117
97,etl,115
127,computing,115
301,kkbox,115
365,engineers,114
222,taiwan,114
94,email,112
98,co,111
120,mcse,111
54,nosql,111
348,vlan,110
220,dos,108
370,problems,107
327,iphone,107
384,qa,107
212,mitjobs,106
175,experiences,106
254,users,105
45,san,105
57,al,104
81,verification,104
257,solaris,102
152,frontpage,102
345,wifi,102
63,cpu,101
134,ibm,101
274,labview,101
168,solving,100
24,fpga,100
6,actionscript,99
126,jdbc,98
111,scripting,98
9,dsp,97
145,gpgpu,96
309,acrobat,96
69,seo,95
32,ips,94
140,ee,93
64,hp,92
288,rdbms,92
321,nb,92
118,preferred,91
71,interface,90
34,xhtml,89
224,website,88
215,operations,88
14,layout,88
12,toeic,88
99,ce,87
110,eclipse,87
381,lte,87
385,swift,87
93,verilog,87
10,rd,86
190,bluetooth,85
27,developers,85
125,obj,84
334,wan,84
331,processes,84
241,mining,84
353,jsf,83
185,facebook,83
31,tasks,83
277,bachelor,80
229,agile,79
256,needs,79
52,cobol,79
119,j2se,78
170,motivated,78
163,powerbuilder,77
306,bootstrap,77
213,sharepoint,77
352,restful,77
80,cim,76
302,servlet,75
282,udp,75
25,devices,75
316,amazon,75
68,xcode,75
281,workflow,74
250,nas,74
382,crm,73
171,weblogic,73
178,winform,73
189,hands,72
182,mongodb,72
33,monitoring,72
320,wireless,72
295,stored,72
261,members,71
165,fi,71
336,ssh,71
193,databases,71
351,rails,70
124,plm,70
107,unity3d,70
393,backend,69
299,lnternet,68
105,audio,68
247,tuning,68
205,hw,68
161,balancing,68
61,a4,68
377,freebsd,68
7,voip,68
121,juniper,67
114,angularjs,67
150,rwd,67
318,ccnp,66
350,interpersonal,66
1,optimization,65
372,languages,64
218,features,64
204,hr,64
3,reports,64
142,ex,64
337,protocols,63
387,porting,63
364,pg,63
46,sas,63
294,abap,62
95,configuration,62
136,cad,62
271,usb,62
283,ipad,61
358,supporting,61
151,schemadesign,61
270,framwork,61
325,pmp,61
367,x86,60
17,pre,60
20,qualifications,60
324,standards,60
280,programmer,59
199,procedures,59
260,orcad,59
333,plans,58
357,compiler,58
39,c#.net1.,58
2,designing,58
373,notes,57
314,bsp,57
156,backup,56
13,tech,56
19,commerce,56
75,servers,56
172,nca,55
76,clustering,55
65,mnd,55
265,distributed,55
380,soc,55
183,svn,55
23,sop,54
328,cases,54
116,scripts,54
346,activities,54
49,responsive,54
11,rhce,54
369,streaming,54
296,deployment,54
248,bmc,54
191,si,53
195,familiarity,53
100,cs,53
339,driven,53
297,ansi,53
255,drivers,53
82,scrum,52
243,certification,52
239,fluent,52
300,citrix,51
174,lin,51
303,platforms,51
179,cgi,51
253,passionate,50
141,ec,50
223,modeling,50
354,architects,50
160,rtos,50
139,areas,49
285,techniques,49
164,fb,49
386,rpg,49
90,tier,49
78,linq,49
143,eq,49
129,gui,48
308,odbc,48
122,designers,48
279,scalable,48
221,ldap,47
130,relational,47
340,redis,47
115,practices,47
196,partners,47
374,networks,46
378,flex,46
86,clients,46
184,independently,46
186,michael,46
276,jboss,46
287,implementing,46
40,win32,45
251,dbase,45
245,js,45
176,hyper,45
230,azure,45
332,qt,44
180,ids,44
360,creating,44
148,websphere,44
392,tcl,44
208,validation,44
341,provides,43
293,photoimpact,43
217,iso,43
202,ps,43
26,proven,43
319,portal,42
74,communications,42
272,mcitp,42
135,cam,42
342,spss,42
83,methodologies,42
200,aqua,42
210,vhdl,41
153,desktop,41
138,forms,41
344,includes,41
28,sniffer,41
233,informix,41
144,fw,41
59,aq,41
