,0,1
935,mobileweb,8301
824,windows,5403
1169,java,5395
440,sql,4897
1156,c,4426
701,c++,4203
1166,linux,3839
74,ms,3378
316,in,2998
1631,c#,2737
1541,asp.net,2611
812,server,2561
1675,php,2408
1214,mysql,2401
1150,javascript,2397
431,excel,2322
769,html,2309
1667,android,2100
1330,oracle,2009
1692,web,1872
1070,jquery,1865
1733,powerpoint,1849
1404,app,1522
1476,.net,1409
803,windows server,1371
848,outlook,1317
615,ajax,1311
1671,ios,1234
985,visual basic,1200
1197,development,1183
67,erp,1138
310,is,1126
1734,software,1019
309,ip,966
997,css,955
722,java script,896
685,xml,854
564,data,819
1755,basic,803
1459,c#.net,752
477,tcp ip,746
1042,asp,743
818,jsp,739
1469,python,737
132,xp,716
0,windows xp,703
51,unix,699
216,visual studio,590
679,visual c++,532
619,programming,521
1203,database,482
1547,mis,472
1407,api,447
672,sql server,425
1367,vmware,425
159,mvc,415
867,embedded,413
1098,mobile,413
1105,microsoft,389
654,sap,386
1296,ui,384
533,dhtml,382
500,vb.net,373
1013,photoshop,372
1017,developer,362
1368,windows nt,357
1781,visual basic .net,347
1526,shell,346
264,html5,343
376,uml,336
370,security,330
173,struts,329
1410,cloud,324
296,mcu,310
1632,j2ee,301
821,cisco,296
198,firmware,292
128,adobe,291
42,mes,289
726,firewall,289
288,dreamweaver,287
1079,visual studio .net,280
646,computer,280
1139,arm,276
622,router,273
258,delphi,270
1116,access,267
805,pos,262
728,android app,258
1281,visio,249
1266,perl,246
57,dns,246
1273,bios,242
260,r,241
1731,tomcat,236
1681,english,231
865,illustrator,230
560,mac,229
528,oop,228
318,ic,226
244,architecture,220
1764,bug,215
200,client,215
1519,quality,209
746,ruby,209
1727,analyses,206
1286,sdk,204
230,db,204
401,git,204
1347,issues,201
327,ccna,195
1078,debugging,194
782,tracking,192
1551,aws,192
456,integration,191
798,autocad,191
1237,web services,191
988,information,191
381,plc,184
1332,c++.net,182
1249,mssql,181
1289,ux,180
567,sw,178
558,explorer,178
65,vpn,176
222,implementation,175
1655,hardware,174
1420,iis,174
1575,teams,171
1008,documentation,170
1219,customers,170
891,storage,165
7,matlab,165
167,coding,164
569,sa,164
1729,socket,163
1117,big data,163
427,vista,162
911,web service,159
776,windows vista,159
570,sd,159
1622,ad,159
819,mac os,156
183,embedded system,154
1242,bi,153
497,apache,149
896,ftp,149
1626,json,146
1174,software development,146
383,postgresql,145
683,bug tracking,145
612,hibernate,144
1553,device,143
1684,mfc,141
862,technologies,140
1228,google,140
1193,hadoop,136
1326,algorithm,136
489,switch,136
88,lan,136
1672,automation,135
1571,db2,130
1023,pcb,130
1739,networking,129
870,tiptop,128
928,usability,127
607,looking,125
15,servlet,125
1641,ap,124
1496,dhcp,124
925,rf,123
1557,ooad,123
1464,responsibilities,123
1424,project management,123
1364,video,122
1088,internal,121
1270,vbscript,121
1265,troubleshooting,120
518,https,120
1560,dba,120
1670,iot,119
666,ethernet,119
706,kernel,118
1175,vba,118
217,internet explorer,117
725,software engineer,117
1610,etl,115
1184,engineers,114
1599,email,112
1559,shell script,112
792,nosql,111
329,mcse,111
1001,vlan,110
214,dos,108
1319,problems,107
1576,qa,107
517,iphone,107
1095,experiences,106
651,san,105
1297,verification,104
878,al,104
1545,best,102
992,solaris,102
969,wifi,102
790,frontpage,102
1295,labview,101
906,cpu,101
410,fpga,100
84,actionscript,99
76,scripting,98
616,jdbc,98
137,dsp,97
645,gpgpu,96
1549,soap,96
153,acrobat,96
1136,seo,95
29,adobe acrobat,95
39,technical support,94
512,ips,94
54,open source,94
